True Labels,Predicted Labels,Original Overviews
Drama,"Comedy, Drama, Romance","Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend."
"Comedy, Romance","Adventure, Animation, Comedy, Family, Fantasy","David Huxley is waiting to get a bone he needs for his museum collection. Through a series of strange circumstances, he meets Susan Vance, and the duo have a series of misadventures which include a leopard called Baby."
"Drama, Romance","Drama, Romance","Ah-yeong, who wants to free herself from poverty and live in Gangnam, coincidentally meets the rich Man-soo, who introduces her to his son, Tae-min. Not long after they start dating, the contract on the house Ah-yeong lives in is terminated and she moves in with Tae-min and Man-soo, just a few months before they get married. However, Ah-yeong starts feeling more attracted to Man-soo, who truly cares for her, instead of Tae-min, who’s incompetent and abusive."
Western,"Action, Adventure, Thriller","Marshall Jed Cooper survives a hanging, vowing revenge on the lynch mob that left him dangling. To carry out his oath for vengeance, he returns to his former job as a lawman. Before long, he's caught up with the nine men on his hit list and starts dispensing his own brand of Wild West justice."
"Animation, Comedy, Family","Adventure, Animation, Comedy, Family, Fantasy","With school out for the summer,  The Littles are vacationing in a cabin by the lake, and Stuart is so excited he could burst! But when Snowbell the cat is captured by a mean-spirited creature known simply as the Beast, it's up to Stuart and a skunk named Reeko to rescue him and a few other friends."
"Crime, Drama, Horror","Drama, Horror, Thriller","William has a simple job: he makes dead bodies disappear. His daughter Gloria has become used to rough-looking men dropping off corpses, and is even convinced that some of them are haunting their house."
"Romance, TV Movie","Comedy, Drama","While on a last-minute European holiday, a young woman finds herself in the middle of a real-life fairy tale when a chance meeting with a handsome local leads to something more. However, things get complicated when she learns that the ""local"" is actually a prince who is about to be crowned King, and whose mother is dead-set against her royal son's romance with the tourist."
"Action, Crime, Drama","Action, Adventure, Thriller","An action film about the ambitions, conspiracy, and betrayal of different organizations surrounding the life-changing project of building the largest resort in Gangneung."
"Drama, Romance","Drama, Romance","Tessa Young is a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart. Entering her first semester of college, Tessa's guarded world opens up when she meets Hardin Scott, a mysterious and brooding rebel who makes her question all she thought she knew about herself -- and what she wants out of life."
"Action, Comedy, Mystery","Horror, Thriller","Two corrupt cops in New Mexico set out to blackmail and frame every criminal unfortunate enough to cross their path. Things take a sinister turn, however, when they try to intimidate someone who is more dangerous than they are. Or is he?"
"Action, Comedy, Family","Comedy, Romance","A family together with their grandpa go on a vacation, when their new car won't stop and it nearly escapes crashing into a hundred cars."
"Action, Adventure, Comedy, Fantasy","Action, Adventure, Animation, Comedy, Family, Fantasy",This is a live-action version of the popular Japanese animated series Dragon Ball.
"Drama, Romance","Drama, Romance",Ha-yeong is a successful psychologist. One day she gets a secretive request from her sister Ha-joo. Apparently Ha-joo's husband Woo-seong is refusing to have sex. Ha-yeong agrees to be their couple therapist but finds out that her brother-in-law actually has sexual desires for her and not her sister...
"Drama, Horror, Thriller","Drama, Horror, Mystery, Thriller","Fourteen-year–old Megan and her best friend Amy spend a lot of time on the internet, posting videos of themselves and chatting with guys online. One night Megan chats with a guy named Josh who convinces her to meet him for a date. The next day, Megan is missing—forever. Based on actual cases of child abduction."
"Horror, Science Fiction, Thriller","Horror, Thriller","An American village is visited by some unknown life form which leaves the women of the village pregnant. Nine months later, the babies are born, and they all look normal, but it doesn't take the ""parents"" long to realize that the kids are not human or humane."
"Action, Animation, Science Fiction","Action, Adventure, Animation, Science Fiction","Kara, devastated by the loss of Krypton, struggles to adjust to her new life on Earth. Her cousin, Superman, mentors her and suggests she leave their space-time to attend the Legion Academy in the 31st century, where she makes new friends and a new enemy: Brainiac 5. Meanwhile, she must contend with a mysterious group called the Dark Circle as it searches for a powerful weapon held in the Academy’s vault."
Thriller,"Action, Crime, Drama, Thriller",Rosario in the 80s. The disappearance of a man during the military dictatorship. Two young people from the court must do everything possible to solve the case while facing police corruption and various dangers that put their lives at risk.
Drama,"Comedy, Drama, Romance","18-year-old Jesús lives with his stern, somewhat unaffectionate father in Santiago, Chile. When not doing drugs, having casual sex or simply slouching in front of the TV, Jesús and his friends perform in a K-pop boyband. But his routine is thrown into chaos one evening when he and his drunken posse viciously assault a young gay man and leave him for dead. It’s an act that propels Jesús into a profound moral crisis which have severe consequences."
"Comedy, Family","Action, Adventure, Animation, Comedy, Fantasy",The tale of a workaholic dad-turned-dog who finds that being man's best friend shows him the most important job - being a great dad.
"Horror, Thriller","Horror, Mystery, Thriller",The haunted Lambert family seeks to uncover the mysterious childhood secret that has left them dangerously connected to the spirit world.
Drama,"Crime, Drama, Thriller","Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did."
